Unnamed: 0,created_at,id,full_text,retweet_count,Result
511,2020-01-23 18:45:50+00:00,1220417370856083500,"The government is under great pressure.
Lacking of resources and the increase in the number of people infected are the biggest challenges.
Help us Help Chinese government!
#ChinaVirus",0,Counterhate
618,2020-01-23 22:42:04+00:00,1220476820576882700,"First case of #CoronaVirus has just been identified in the #Philippines from a #Chinese child. Important for everyone to take extra precautions to wash hands, properly cook meat, and take care of our health! Pero nakakataka, lagi galing sa same place mga #epidemic sa Asia… hmm… https://t.co/Ii9uCQx1Tk",0,Counterhate
787,2020-01-24 05:27:45+00:00,1220578917532213200,Hi hello if you are criticizing Chinese culture due to the corona virus you are scum it’s the fact that their food is unclean!! That’s the bad part! Not the fact that they’re eating what they’re eating.,1,Counterhate
920,2020-01-24 09:01:24+00:00,1220632684419903500,"No one has the right to be racist, even during this time of coronavirus. Racism can never be justifiable.",0,Counterhate
1055,2020-01-24 12:38:13+00:00,1220687246753325000,"Hai i need your help

I know a lot is going on and some people are using the coronavirus (among other things) as an excuse to be racist towards the chinese people, but how do we express our anger and disbelief without being racist?",0,Counterhate
1423,2020-01-24 18:22:37+00:00,1220773916550975500,"@ianbremmer This is not an accent in Wuhan. It should be the southern accent of Huanggang, because I am a resident of Huanggang. The contention between the two is: I will weigh （the vegetables ）first.",0,Counterhate
1701,2020-01-24 23:45:14+00:00,1220855107081986000,"@visit_wuhan Though many come to mock you, know that there are many people who are concerned about the citizens of China. 🧡",0,Counterhate
2166,2020-01-25 05:25:47+00:00,1220940808964079600,"@JoceeeeCL To all wuhan or other human being that eat bat or something, please stop immediately. Put racism aside, its time for you guys to listen the others. Start eat healthy and eat clean animal. For urself and ur future family. Please take this as a serious advices. Get well soon 😢🙌🏻",4,Counterhate
2792,2020-01-25 13:57:05+00:00,1221069481222393900,"To all healthcare team in Wuhan, thank you for your hard work. Be safe and dont overwork.",0,Counterhate
2831,2020-01-25 14:14:19+00:00,1221073820494237700,@Aboudurouleau2 @CGTNOfficial @ZhaLiyou @China_Amb_India I follow the tradition of Vasudhaiyav Kutumbakam or 世界大同and what my teachers Ji Xianlin and Tan Chung taught: 你中有我; 我中有你。My soul has an iota of Chinese soul and it is soul of humanity. Pray for Wuhan pray 4 China is 4 me 2.,0,Counterhate
