Tweet_Num,Step 2 Prob,Step 2 Result
72,0.744917355,entity_directed_criticism
78,0.72216779,entity_directed_criticism
110,0.637720296,entity_directed_criticism
146,0.578454493,entity_directed_criticism
148,0.646826533,entity_directed_criticism
172,0.684763708,entity_directed_criticism
305,0.612247768,entity_directed_criticism
306,0.541679715,entity_directed_criticism
319,0.547400764,entity_directed_criticism
320,0.541679715,entity_directed_criticism
328,0.775860041,entity_directed_criticism
341,0.550075203,entity_directed_criticism
359,0.668814488,entity_directed_criticism
373,0.751974046,entity_directed_criticism
416,0.773698668,entity_directed_criticism
488,0.667949704,entity_directed_criticism
492,0.738061201,entity_directed_criticism
494,0.914709386,entity_directed_criticism
500,0.673093457,entity_directed_criticism
501,0.78194061,entity_directed_criticism
512,0.832525936,entity_directed_criticism
602,0.522496137,entity_directed_criticism
626,0.729345706,entity_directed_criticism
644,0.519659819,entity_directed_criticism
657,0.783334298,entity_directed_criticism
702,0.684463624,entity_directed_criticism
705,0.504292781,entity_directed_criticism
721,0.509890586,entity_directed_criticism
753,0.583511426,entity_directed_criticism
809,0.638248772,entity_directed_criticism
870,0.544522094,entity_directed_criticism
891,0.542869594,entity_directed_criticism
932,0.745270275,entity_directed_criticism
1030,0.550317564,entity_directed_criticism
1077,0.576614936,entity_directed_criticism
1097,0.746390794,entity_directed_criticism
1101,0.501788628,entity_directed_criticism
1347,0.584871942,entity_directed_criticism
1363,0.811715967,entity_directed_criticism
1422,0.779678781,entity_directed_criticism
1459,0.723827149,entity_directed_criticism
1582,0.602432288,entity_directed_criticism
1679,0.559546018,entity_directed_criticism
1843,0.590655007,entity_directed_criticism
1871,0.781927126,entity_directed_criticism
2028,0.767995349,entity_directed_criticism
2165,0.629502047,entity_directed_criticism
2188,0.776316291,entity_directed_criticism
2269,0.721086443,entity_directed_criticism
2307,0.531814542,entity_directed_criticism
2321,0.572721578,entity_directed_criticism
2330,0.514450097,entity_directed_criticism
2419,0.746918621,entity_directed_criticism
2442,0.756056722,entity_directed_criticism
2470,0.591151188,entity_directed_criticism
2495,0.651246793,entity_directed_criticism
2509,0.596275977,entity_directed_criticism
2530,0.524273977,entity_directed_criticism
2561,0.852023837,entity_directed_criticism
2562,0.527428118,entity_directed_criticism
2627,0.560518947,entity_directed_criticism
2672,0.749775461,entity_directed_criticism
2694,0.516753198,entity_directed_criticism
2732,0.516173473,entity_directed_criticism
2774,0.576708636,entity_directed_criticism
2820,0.578726403,entity_directed_criticism
2856,0.562870447,entity_directed_criticism
2857,0.633613896,entity_directed_criticism
2948,0.602524034,entity_directed_criticism
2969,0.549434665,entity_directed_criticism
2979,0.682576833,entity_directed_criticism
2983,0.668885795,entity_directed_criticism
2996,0.53597477,entity_directed_criticism
3037,0.72174085,entity_directed_criticism
3104,0.592071586,entity_directed_criticism
3117,0.518856818,entity_directed_criticism
3214,0.747863599,entity_directed_criticism
3219,0.53597477,entity_directed_criticism
3280,0.53597477,entity_directed_criticism
3298,0.53597477,entity_directed_criticism
3310,0.53597477,entity_directed_criticism
3313,0.573560131,entity_directed_criticism
3328,0.53597477,entity_directed_criticism
3348,0.650351026,entity_directed_criticism
3353,0.53597477,entity_directed_criticism
3380,0.757417451,entity_directed_criticism
3387,0.704988178,entity_directed_criticism
3394,0.89419583,entity_directed_criticism
3400,0.58698446,entity_directed_criticism
3470,0.53597477,entity_directed_criticism
3478,0.814780901,entity_directed_criticism
3504,0.53597477,entity_directed_criticism
3545,0.53597477,entity_directed_criticism
3686,0.725108103,entity_directed_criticism
3724,0.592095428,entity_directed_criticism
